unigram,sum,frequency,mean
cookbook,27.6,3,9.200000000000001
suggest,124.39999999999998,14,8.885714285714284
grub,43.3,5,8.66
made,9.4,1,9.4
especial,36.699999999999996,4,9.174999999999999
preso,15.7,2,7.85
bull,105.59999999999998,12,8.799999999999999
when,2055.8999999999983,240,8.566249999999993
buttery,52.0,6,8.666666666666666
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv,8.9,1,8.9
