key,score,repeat,average
reevaluate,8.6,1,8.6
timeoutnewyork,9.2,1,9.2
secenekler,9.6,1,9.6
caffeinated,32.5,4,8.125
bennys,9.0,1,9.0
cityscape,9.1,1,9.1
yikes,17.5,2,8.75
tantalizing,9.4,1,9.4
bellini,45.6,5,9.120000000000001
quiero,8.6,1,8.6
savored,9.1,1,9.1
combi,9.4,2,4.7
justin,9.3,1,9.3
bs,32.9,4,8.225
allegiance,8.8,1,8.8
centre,18.4,2,9.2
funday,26.2,3,8.733333333333333
passe,27.5,3,9.166666666666666
pinte,9.4,1,9.4
occupancy,9.3,1,9.3
hellz,9.3,1,9.3
cultures,8.8,1,8.8
visitors,60.7,7,8.671428571428573
six,190.4,24,7.933333333333334
yarat,9.5,1,9.5
opinion,181.3,21,8.633333333333335
douche,37.3,5,7.459999999999999
globally,9.3,1,9.3
heading,140.2,17,8.24705882352941
loading,27.4,3,9.133333333333333
gearedforgreen,9.6,1,9.6
notes,33.5,4,8.375
sister,106.7,12,8.891666666666667
assortment,86.1,10,8.61
staggering,9.6,1,9.6
interesante,8.7,1,8.7
boat,45.0,5,9.0
enmedim,9.1,1,9.1
getthatshit,9.1,1,9.1
charmoso,35.3,4,8.825
regiao,9.1,1,9.1
origins,8.8,1,8.8
fundays,9.0,1,9.0
dating,26.3,3,8.766666666666667
paradise,211.2,24,8.799999999999999
vintage,139.3,16,8.70625
bond,53.3,6,8.883333333333333
nyc,7532.3,885,8.511073446327684
appropriate,15.6,2,7.8
hojicha,9.4,1,9.4
sud,9.1,1,9.1
aficionado,17.8,2,8.9
inferno,24.7,3,8.233333333333333
housewares,9.3,1,9.3
douchebags,24.9,3,8.299999999999999
muesli,25.7,3,8.566666666666666
riding,9.4,1,9.4
mistaken,17.4,2,8.7
extends,27.0,3,9.0
silhouettes,29.4,4,7.35
bouncers,16.7,2,8.35
drawer,18.6,2,9.3
equis,8.6,1,8.6
bfics,9.0,1,9.0
meaty,105.7,12,8.808333333333334
rarity,39.5,5,7.9
sak,7.6,1,7.6
confuse,25.8,3,8.6
waxes,8.7,1,8.7
co,91.7,11,8.336363636363636
fixes,36.3,4,9.075
shaun,9.4,1,9.4
fondubai,9.5,1,9.5
warning,187.3,22,8.513636363636364
danisious,9.0,1,9.0
capta,8.1,1,8.1
sonata,8.7,1,8.7
blog,25.5,3,8.5
fifteen,15.8,2,7.9
warmest,17.6,2,8.8
remarkably,25.1,3,8.366666666666667
ssensational,9.4,1,9.4
crumbs,96.4,11,8.763636363636364
mousse,210.4,24,8.766666666666667
mignon,150.3,17,8.841176470588236
blended,86.4,10,8.64
smother,25.4,3,8.466666666666667
foam,109.2,13,8.4
yummies,9.2,1,9.2
citizenmag,9.4,1,9.4
opportunities,9.4,1,9.4
disorganized,34.5,4,8.625
schmedium,9.1,1,9.1
bolinho,9.6,1,9.6
kujeme,9.5,1,9.5
patterson,8.4,1,8.4
brandi,9.6,1,9.6
bhan,9.3,1,9.3
merchants,9.6,1,9.6
noisy,347.7,42,8.278571428571428
dorm,17.2,2,8.6
fika,15.7,2,7.85
whose,17.3,2,8.65
sundea,9.6,1,9.6
allagash,71.7,8,8.9625
mudslide,18.1,2,9.05
wade,18.4,2,9.2
tomorrow,77.7,9,8.633333333333333
tonka,9.2,1,9.2
amarena,27.1,3,9.033333333333333
mott,9.5,1,9.5
godsend,35.2,4,8.8
embarrassed,8.4,1,8.4
bags,115.4,14,8.242857142857144
mothers,35.2,4,8.8
tuerie,9.4,1,9.4
gamewatches,7.5,1,7.5
beefy,6.5,1,6.5
australian,43.0,5,8.6
bali,9.3,1,9.3
frosting,80.4,9,8.933333333333334
wordpress,33.3,4,8.325
depressing,9.1,1,9.1
icey,9.2,1,9.2
obrigat,27.5,3,9.166666666666666
careful,378.3,45,8.406666666666666
roots,54.3,6,9.049999999999999
considerably,26.4,3,8.799999999999999
karage,17.7,2,8.85
"vday,",9.6,1,9.6
tamb,9.4,1,9.4
antonian,9.4,1,9.4
tartuffo,9.1,1,9.1
desfruta,8.4,1,8.4
dazed,9.4,1,9.4
leash,7.5,1,7.5
tron,9.3,1,9.3
felafel,9.2,1,9.2
mussini,9.5,1,9.5
stevia,17.0,2,8.5
shut,16.9,2,8.45
nough,36.4,4,9.1
exxon,9.2,1,9.2
sam,95.7,11,8.700000000000001
caviar,102.4,12,8.533333333333333
falafels,60.1,7,8.585714285714285
vomit,17.7,2,8.85
taim,9.0,1,9.0
ev,167.1,19,8.794736842105262
gorgonzola,61.3,7,8.757142857142856
keimo,8.7,1,8.7
campo,9.5,1,9.5
balances,9.2,1,9.2
fanatic,9.0,1,9.0
shi,8.5,1,8.5
popped,18.3,2,9.15
clerks,9.5,1,9.5
bluefish,27.4,3,9.133333333333333
chan,9.1,1,9.1
fallon,18.5,2,9.25
ketchupy,8.8,1,8.8
pizza,5582.4,699,7.986266094420601
poppin,24.7,3,8.233333333333333
ja,26.3,3,8.766666666666667
costillar,7.2,1,7.2
montasio,9.5,1,9.5
saffron,9.1,1,9.1
mixologist,9.3,1,9.3
meyveler,9.6,1,9.6
drives,9.4,1,9.4
ample,90.4,11,8.218181818181819
proviant,9.5,1,9.5
only,5593.3,669,8.36068759342302
provence,8.7,1,8.7
soppressata,8.7,1,8.7
sfoglie,9.3,1,9.3
boozey,8.3,1,8.3
smothered,44.2,5,8.84
un,778.3,100,7.7829999999999995
onlyyyy,9.3,1,9.3
coook,9.3,1,9.3
onions,416.4,48,8.674999999999999
kogashi,45.4,5,9.08
utensils,17.2,2,8.6
jump,59.4,7,8.485714285714286
terminar,9.4,1,9.4
sublime,174.4,20,8.72
seemingly,9.4,1,9.4
woah,35.2,4,8.8
burgs,18.4,2,9.2
comes,1548.3,181,8.55414364640884
chikfila,8.8,1,8.8
lobsterpalooza,27.1,3,9.033333333333333
appay,186.3,42,4.435714285714286
overpriced,1263.3,150,8.421999999999999
locked,17.3,2,8.65
php,36.1,4,9.025
malawach,63.2,7,9.028571428571428
lv,26.4,3,8.799999999999999
priapus,9.4,1,9.4
barbar,9.4,1,9.4
valid,8.5,1,8.5
cher,44.3,5,8.86
commute,27.3,3,9.1
tolucamolletes,9.3,1,9.3
trout,339.3,39,8.700000000000001
mochas,87.0,11,7.909090909090909
mike,35.4,4,8.85
obie,9.0,1,9.0
overwaited,9.3,1,9.3
incl,59.6,8,7.45
mopping,8.7,1,8.7
romantis,9.4,1,9.4
cheapbagsdeal,9.6,1,9.6
save,811.7,95,8.54421052631579
certainly,201.4,23,8.756521739130434
palavras,9.4,1,9.4
scampi,40.4,5,8.08
momma,25.7,3,8.566666666666666
shanghai,105.1,14,7.507142857142857
continuously,26.3,3,8.766666666666667
classic,2567.3,294,8.732312925170069
qi,18.2,2,9.1
bummer,68.2,8,8.525
multiply,8.8,1,8.8
negro,9.4,1,9.4
vegetais,18.5,2,9.25
delish,1485.3,174,8.536206896551723
accommodated,8.8,1,8.8
librer,9.5,1,9.5
less,1190.3,149,7.988590604026846
pebble,9.1,1,9.1
highest,25.7,3,8.566666666666666
cinematic,9.3,1,9.3
shimp,8.5,1,8.5
restrictions,18.4,2,9.2
stopping,71.2,8,8.9
tea,4133.3,536,7.711380597014926
peeky,36.2,4,9.05
close,883.3,106,8.333018867924528
chewy,409.4,48,8.529166666666667
prosciutto,557.5,64,8.7109375
swarming,8.9,1,8.9
oh,1307.3,153,8.544444444444444
nooooooo,8.1,1,8.1
dreadful,26.4,3,8.799999999999999
spot,6360.3,758,8.39089709762533
spawned,9.1,1,9.1
grupo,9.1,1,9.1
disagrees,6.5,1,6.5
nutsack,8.2,1,8.2
restaurent,8.7,1,8.7
lovingly,9.3,1,9.3
sneakily,8.9,1,8.9
skinny,128.4,17,7.552941176470589
exaggeration,26.6,3,8.866666666666667
hurry,67.3,8,8.4125
breaker,7.2,1,7.2
ver,45.4,6,7.566666666666666
neighbourhoods,8.9,1,8.9
cenado,9.3,1,9.3
schnellen,9.0,1,9.0
